[epoch:1, iter:95] |Loss: 2.267 | Acc: 15.773% 
[epoch:1, iter:96] |Loss: 2.266 | Acc: 15.918% 
[epoch:1, iter:97] |Loss: 2.266 | Acc: 15.983% 
[epoch:1, iter:98] |Loss: 2.265 | Acc: 16.079% 
[epoch:1, iter:99] |Loss: 2.264 | Acc: 16.197% 
[epoch:1, iter:100] |Loss: 2.264 | Acc: 16.227% 
[epoch:1, iter:101] |Loss: 2.263 | Acc: 16.317% 
[epoch:1, iter:102] |Loss: 2.263 | Acc: 16.349% 
[epoch:1, iter:103] |Loss: 2.261 | Acc: 16.482% 
[epoch:1, iter:104] |Loss: 2.261 | Acc: 16.590% 
[epoch:1, iter:105] |Loss: 2.260 | Acc: 16.607% 
[epoch:1, iter:106] |Loss: 2.260 | Acc: 16.661% 
[epoch:1, iter:107] |Loss: 2.259 | Acc: 16.731% 
[epoch:1, iter:108] |Loss: 2.258 | Acc: 16.833% 
[epoch:1, iter:109] |Loss: 2.258 | Acc: 16.919% 
[epoch:1, iter:110] |Loss: 2.257 | Acc: 16.999% 
[epoch:1, iter:111] |Loss: 2.256 | Acc: 17.092% 
[epoch:1, iter:112] |Loss: 2.256 | Acc: 17.128% 
[epoch:1, iter:113] |Loss: 2.255 | Acc: 17.222% 
[epoch:1, iter:114] |Loss: 2.254 | Acc: 17.304% 
[epoch:1, iter:115] |Loss: 2.254 | Acc: 17.408% 
[epoch:1, iter:116] |Loss: 2.253 | Acc: 17.467% 
[epoch:1, iter:117] |Loss: 2.253 | Acc: 17.531% 
[epoch:1, iter:118] |Loss: 2.252 | Acc: 17.601% 
[epoch:1, iter:119] |Loss: 2.251 | Acc: 17.703% 
[epoch:1, iter:120] |Loss: 2.251 | Acc: 17.760% 
[epoch:1, iter:121] |Loss: 2.250 | Acc: 17.814% 
[epoch:1, iter:122] |Loss: 2.250 | Acc: 17.860% 
[epoch:1, iter:123] |Loss: 2.249 | Acc: 17.915% 
[epoch:1, iter:124] |Loss: 2.249 | Acc: 17.985% 
[epoch:1, iter:125] |Loss: 2.248 | Acc: 18.056% 
[epoch:1, iter:126] |Loss: 2.247 | Acc: 18.130% 
[epoch:1, iter:127] |Loss: 2.247 | Acc: 18.264% 
[epoch:1, iter:128] |Loss: 2.246 | Acc: 18.332% 
[epoch:1, iter:129] |Loss: 2.246 | Acc: 18.384% 
[epoch:1, iter:130] |Loss: 2.245 | Acc: 18.444% 
[epoch:1, iter:131] |Loss: 2.244 | Acc: 18.517% 
[epoch:1, iter:132] |Loss: 2.244 | Acc: 18.578% 
[epoch:1, iter:133] |Loss: 2.243 | Acc: 18.635% 
[epoch:1, iter:134] |Loss: 2.243 | Acc: 18.718% 
[epoch:1, iter:135] |Loss: 2.242 | Acc: 18.814% 
[epoch:1, iter:136] |Loss: 2.241 | Acc: 18.865% 
[epoch:1, iter:137] |Loss: 2.241 | Acc: 18.927% 
[epoch:1, iter:138] |Loss: 2.240 | Acc: 18.974% 
[epoch:1, iter:139] |Loss: 2.240 | Acc: 19.056% 
[epoch:1, iter:140] |Loss: 2.239 | Acc: 19.085% 
[epoch:1, iter:141] |Loss: 2.239 | Acc: 19.149% 
[epoch:1, iter:142] |Loss: 2.238 | Acc: 19.204% 
[epoch:1, iter:143] |Loss: 2.238 | Acc: 19.242% 
[epoch:1, iter:144] |Loss: 2.237 | Acc: 19.347% 
[epoch:1, iter:145] |Loss: 2.237 | Acc: 19.413% 
[epoch:1, iter:146] |Loss: 2.236 | Acc: 19.472% 
[epoch:1, iter:147] |Loss: 2.235 | Acc: 19.563% 
[epoch:1, iter:148] |Loss: 2.235 | Acc: 19.679% 
[epoch:1, iter:149] |Loss: 2.234 | Acc: 19.751% 
[epoch:1, iter:150] |Loss: 2.233 | Acc: 19.812% 
[epoch:1, iter:151] |Loss: 2.233 | Acc: 19.901% 
[epoch:1, iter:152] |Loss: 2.232 | Acc: 19.968% 
[epoch:1, iter:153] |Loss: 2.232 | Acc: 20.027% 
[epoch:1, iter:154] |Loss: 2.231 | Acc: 20.094% 
[epoch:1, iter:155] |Loss: 2.231 | Acc: 20.169% 
